VendorNumber,VendorName,BrandCount,CategoryCount,PurchaseQuantity,SalesQuantity,PurchaseCost,Revenue,GrossProfit,AllocatedFreight,AdjustedProfit,ExciseTax,InventoryAtRisk,UnsoldQuantity,PurchaseLineCount,InvoiceCount,AvgLeadDaysWeightedSum,AvgLeadDaysWeight,GrossMarginPct,AdjustedMarginPct,StockTurnover,SalesToPurchaseRatio,AvgLeadDays,RevenueSharePct,CostSharePct,PerformanceScore,PerformanceRank,PerformanceTier
4692,KOBRAND CORPORATION,219,2,161002.0,161920.0,1808146.33,2840547.87,1032401.5399999999,9139.380000000001,1023262.1599999999,24319.32,106898.45,6322.0,11748.0,55.0,89531.0,11748.0,36.34515548579718,36.0234083997324,1.0057017925243166,1.5709723393902528,7.620956758597208,0.6283522808731138,0.5617092357711363,78.48837209302326,11,Stable
3252,E & J GALLO WINERY,513,2,1858260.0,1809023.0,12289608.09,18556085.61,6266477.52,61966.91,6204510.609999999,508544.87,486888.76,70690.0,162567.0,55.0,1238713.0,162567.0,33.77047105572176,33.43652718791266,0.9735037077696339,1.5099005170961477,7.619707566726334,4.1047569872921255,3.817825058528683,78.41085271317829,12,Stable
10000,MAJESTIC FINE WINES,38,1,446119.0,433515.0,3506668.63,5375429.09,1868760.4600000002,17587.59,1851172.87,47740.170000000006,124938.52,13768.0,19929.0,55.0,143435.0,19929.0,34.76486116199517,34.43767630464641,0.971747448550723,1.5329161826163198,7.197300416478499,1.1890886138712342,1.0893632465354268,78.3720930232558,13,Stable
4425,MARTIGNETTI COMPANIES,1520,2,2640411.0,2581318.0,27861690.02,41047306.3,13185616.28,144929.24,13040687.04,756323.75,1928345.65,132534.0,176781.0,82.0,1376440.0,176781.0,32.12297582606535,31.76989726119982,0.9776197720733628,1.4732525654594157,7.786130862479565,9.079997844677171,8.655366188435917,77.90697674418605,14,Stable
6785,PALM BAY INTERNATIONAL INC,159,2,375697.0,373092.0,2693984.33,4025063.52,1331079.19,13605.41,1317473.78,68380.21,70985.8,6857.0,31168.0,55.0,232845.0,31168.0,33.06976854864641,32.731751274325234,0.9930662209173882,1.4940931449293173,7.470642967145791,0.8903767720876903,0.8368990131366837,77.55813953488372,15,Stable
3960,DIAGEO NORTH AMERICA INC,416,2,5459788.0,5422703.0,50959796.85,68742416.99,17782620.14,257032.07,17525588.07,3798654.94,1656475.58,111655.0,243326.0,55.0,1837026.0,243326.0,25.868482544899248,25.494576474594222,0.9932076117241182,1.3489539056119686,7.5496494414900175,15.206381474710787,15.830902659114903,77.44186046511628,16,Stable
7153,PINE STATE TRADING CO,447,2,424427.0,416859.0,3129071.59,4647517.08,1518445.49,15884.82,1502560.67,93343.47,275026.07,25058.0,26970.0,55.0,199314.0,26970.0,32.67218740377389,32.33039586806639,0.9821689006590062,1.4852702938637465,7.3902113459399335,1.0280685597510293,0.9720609346324719,76.43410852713178,17,Stable
7245,PROXIMO SPIRITS INC.,109,1,682042.0,667654.0,7588029.9,10516246.86,2928216.96,38994.78,2889222.1799999997,673815.46,222074.00999999998,24945.0,53318.0,55.0,385991.0,53318.0,27.84469591654299,27.47389081355209,0.9789045249412793,1.385899502056522,7.2394125811170715,2.326279296502657,2.357257488190976,75.81395348837209,18,Stable
516,BANFI PRODUCTS CORP,138,2,228103.0,221040.0,1628866.68,2646325.62,1017458.94,8510.41,1008948.53,32922.19,72221.70999999999,10557.0,23510.0,55.0,175679.0,23510.0,38.44798736445744,38.12639390915166,0.9690359179844193,1.6246422451222344,7.472522330923011,0.5853887402573353,0.5060151619453653,75.11627906976744,19,Stable
1601,VRANKEN AMERICA,18,1,13094.0,13469.0,208330.15,341658.31,133328.16,1048.97,132279.19,1496.01,5685.05,390.0,881.0,54.0,6705.0,881.0,39.02383056334851,38.716807444256226,1.0286390713303804,1.6399849469699896,7.610669693530079,0.07557759565859856,0.06471874947454401,74.2248062015504,20,Stable
