VendorNumber,VendorName,Brand,Description,Classification,PurchaseQuantity,SalesQuantity,PurchaseCost,Revenue,GrossProfit,GrossMarginPct,AllocatedFreight,AdjustedProfit,AdjustedMarginPct,ExciseTax,AvgUnitCost,AvgUnitRevenue,ReferencePurchasePrice,ReferenceRetailPrice,VolumeML,AvgLeadDays,StockTurnover,SalesToPurchaseRatio,UnsoldQuantity,InventoryAtRisk,PurchaseLineCount,InvoiceCount,InvoiceValue,LeadDaySum,LeadDayCount,FreightCost
90024,VINILANDIA USA,24717,Merum Monastrell Jumilla,2,48.0,38.0,381.12,455.62,74.5,16.35134541942847,1.9461268217162566,72.55387317828374,15.924207273228511,4.2700000000000005,7.94,11.99,7.94,11.99,750.0,7.333333333333333,0.7916666666666666,1.1954764903442485,10.0,79.4,3.0,55.0,548855.37,22.0,3.0,2802.64
9552,M S WALKER INC,20768,Chehalem Pnt Gr Three Vyd,2,0.0,5.0,0.0,72.45,72.45,100.0,0.0,72.45,100.0,0.55,0.0,14.49,9.72,21.99,750.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,10935817.3,0.0,0.0,55551.82
3252,E & J GALLO WINERY,20445,Barefoot Bubbly Tropical Fus,2,59.0,46.0,385.27,459.54,74.27000000000004,16.161813987900953,1.9426161713916785,72.32738382860836,15.739083393960996,5.11,6.529999999999999,9.99,6.53,9.99,750.0,6.0,0.7796610169491526,1.1927738988242014,13.0,84.88999999999999,4.0,55.0,12289608.09,24.0,4.0,61966.91
1590,DIAGEO CHATEAU ESTATE WINES,46774,Rosenblum Znfdl Paso Robles,2,12.0,12.0,142.92,215.88,72.96000000000001,33.79655364091162,0.7598565472738112,72.2001434527262,33.44457265736807,1.34,11.909999999999998,17.99,11.91,17.99,750.0,10.0,1.0,1.510495382031906,0.0,0.0,1.0,55.0,1365472.83,10.0,1.0,7259.75
17033,SEA BREEZE CELLARS LLC,11088,Gruet Blanc de Noir,2,36.0,32.0,246.24,319.68,73.44,22.972972972972972,1.2420703474471189,72.19792965255287,22.58443745387665,1.83,6.84,9.99,6.84,9.99,375.0,4.666666666666667,0.8888888888888888,1.2982456140350878,4.0,27.36,3.0,53.0,108948.09,14.0,3.0,549.55
9165,ULTRA BEVERAGE COMPANY LLP,25702,Ruca Malen Petit Verdot,2,12.0,12.0,155.04,227.88,72.84,31.964191679831494,0.7986911693815579,72.04130883061845,31.61370406820188,1.33,12.92,18.99,12.92,18.99,750.0,11.0,1.0,1.4698142414860682,0.0,0.0,1.0,55.0,13210613.93,11.0,1.0,68054.7
4425,MARTIGNETTI COMPANIES,12084,Monastero Lunanuova Chianti,2,0.0,2.0,0.0,71.98,71.98,100.0,0.0,71.98,100.0,0.16,0.0,35.99,23.52,41.99,500.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,27861690.02,0.0,0.0,144929.24
11567,CAMPARI AMERICA,172,Wild Turkey 101 Gift Pak,1,0.0,3.0,0.0,71.97,71.97,100.0,0.0,71.97,100.0,2.37,0.0,23.99,17.59,23.99,750.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,4141720.71,0.0,0.0,20964.81
3960,DIAGEO NORTH AMERICA INC,5112,Nuvo Sparkling Vodka Liqueur,1,0.0,4.0,0.0,71.96,71.96,100.0,0.0,71.96,100.0,3.15,0.0,17.99,13.95,24.99,750.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,50959796.85,0.0,0.0,257032.07
9552,M S WALKER INC,38727,Jack's Blend Hanwood Estate,2,0.0,6.0,0.0,71.94,71.94,100.0,0.0,71.94,100.0,0.67,0.0,11.99,6.75,11.99,750.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,10935817.3,0.0,0.0,55551.82
7153,PINE STATE TRADING CO,20778,Epilogo La Mancha Svgn Bl/Mo,2,0.0,9.0,0.0,71.91,71.91,100.0,0.0,71.91,100.0,0.99,0.0,7.989999999999999,5.36,7.99,750.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,3129071.59,0.0,0.0,15884.82
17035,PERNOD RICARD USA,21152,Flight Song Pnt Grigio,2,0.0,12.0,0.0,71.88,71.88,100.0,0.0,71.88,100.0,1.35,0.0,5.989999999999999,3.92,7.79,750.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,24124091.56,0.0,0.0,123780.22
2000,SOUTHERN WINE & SPIRITS NE,15014,Librandi Ciro Blanco DOC,2,0.0,11.0,0.0,71.39,71.39,100.0,0.0,71.39,100.0,1.23,0.0,6.49,4.19,7.49,750.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,3740617.38,0.0,0.0,19016.59
4425,MARTIGNETTI COMPANIES,26644,Guenoc Est Guenoc Vly Chard,2,0.0,11.0,0.0,71.39,71.39,100.0,0.0,71.39,100.0,1.24,0.0,6.49,4.36,6.49,750.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,27861690.02,0.0,0.0,144929.24
90024,VINILANDIA USA,11820,Scagliola Dolcesvago Moscato,2,10.0,21.0,33.3,104.79,71.49000000000001,68.22215860292013,0.170040992766455,71.31995900723355,68.05989026360677,2.3500000000000005,3.3299999999999996,4.99,3.33,13.99,750.0,6.0,2.1,3.1468468468468473,0.0,0.0,1.0,55.0,548855.37,6.0,1.0,2802.64
90047,CRUSH WINES,22839,Tomada de Castro Albarino,2,12.0,12.0,143.88,215.88,72.0,33.35186214563646,0.73031186820985,71.26968813179015,33.01356685741623,1.34,11.99,17.99,11.99,17.99,750.0,7.0,1.0,1.500417014178482,0.0,0.0,1.0,55.0,287189.9,7.0,1.0,1457.73
9815,WINE GROUP INC,12188,Oak Leaf Svgn Bl Cal,2,72.0,72.0,143.28,215.28000000000003,72.00000000000003,33.444816053511715,0.7383941694136286,71.2616058305864,33.10182359280304,8.100000000000001,1.99,2.99,1.99,2.99,750.0,5.0,1.0,1.5025125628140705,0.0,0.0,3.0,55.0,5258636.79,15.0,3.0,27100.41
9815,WINE GROUP INC,43354,Pinot Evil VDP Beaute Pnt Nr,2,12.0,12.0,48.6,119.88,71.28,59.45945945945946,0.2504603338463313,71.02953966615367,59.25053358871677,1.35,4.05,9.99,4.05,6.49,750.0,9.0,1.0,2.4666666666666663,0.0,0.0,1.0,55.0,5258636.79,9.0,1.0,27100.41
4692,KOBRAND CORPORATION,19201,Jadot 12 Steel Chard,2,66.0,49.0,757.68,832.51,74.83000000000004,8.98848061885143,3.829737296980826,71.00026270301922,8.52845764051113,5.53,11.479999999999999,16.99,11.48,16.99,750.0,9.6,0.7424242424242424,1.0987620103473763,17.0,195.15999999999997,5.0,55.0,1808146.33,48.0,5.0,9139.380000000001
8112,MOET HENNESSY USA INC,36308,Dom Chandon Riche Extra Dry,2,12.0,12.0,156.12,227.88,71.75999999999999,31.49025803054239,0.7967885628401882,70.9632114371598,31.140605334895472,1.34,13.01,18.99,13.01,18.99,750.0,4.0,1.0,1.4596464258262873,0.0,0.0,1.0,55.0,9472995.2,4.0,1.0,48347.26
12546,JIM BEAM BRANDS COMPANY,3250,Pinnacle Cake Vodka,1,2.0,9.0,14.82,85.41,70.59,82.64840182648403,0.07585441960045942,70.51414558039954,82.55958972064109,7.09,7.41,9.49,7.41,12.99,750.0,11.0,4.5,5.763157894736842,0.0,0.0,1.0,55.0,24203151.05,11.0,1.0,123880.97
1392,CONSTELLATION BRANDS INC,6395,Taylor Dry Sherry,2,71.0,61.0,232.88,304.39,71.50999999999999,23.492887414172607,1.1892133572374874,70.3207866427625,23.102200020619108,6.74,3.28,4.99,3.28,4.99,750.0,8.0,0.8591549295774648,1.3070680178632772,10.0,32.8,5.0,55.0,15573917.9,40.0,5.0,79528.99
8892,TRINCHERO FAMILY ESTATES,20133,Fancy Pants Cab Svgn,2,24.0,24.0,144.72,215.76,71.03999999999999,32.92547274749722,0.7451204826779775,70.29487951732202,32.580125842288666,2.6500000000000004,6.03,8.99,6.03,8.99,750.0,7.0,1.0,1.4908789386401327,0.0,0.0,1.0,55.0,2252211.31,7.0,1.0,11595.97
